1,0,0,5.6342
1,0,2.5,62.512
1,0,5,197.79
1,0,7.5,172.98
1,0,10,136.75
1,2.5,0,21.56
1,2.5,2.5,25.886
1,2.5,5,73.801
1,2.5,7.5,153.45
1,2.5,10,164.24
1,5,0,33.342
1,5,2.5,33.397
1,5,5,37.077
1,5,7.5,78.461
1,5,10,134.78
1,7.5,0,40.997
1,7.5,2.5,40.59
1,7.5,5,43.115
1,7.5,7.5,45.987
1,7.5,10,78.214
1,10,0,46.786
1,10,2.5,45.227
1,10,5,48.898
1,10,7.5,49.359
1,10,10,49.699
6.4444,0,0,45.187
6.4444,0,2.5,56.429
6.4444,0,5,76.806
6.4444,0,7.5,90.266
6.4444,0,10,96.615
6.4444,2.5,0,42.04
6.4444,2.5,2.5,49.311
6.4444,2.5,5,64.505
6.4444,2.5,7.5,80.127
6.4444,2.5,10,90.82
6.4444,5,0,43.978
6.4444,5,2.5,47.456
6.4444,5,5,57.594
6.4444,5,7.5,69.598
6.4444,5,10,80.929
6.4444,7.5,0,46.317
6.4444,7.5,2.5,48.147
6.4444,7.5,5,55.356
6.4444,7.5,7.5,63.584
6.4444,7.5,10,71.207
6.4444,10,0,48.644
6.4444,10,2.5,50.272
6.4444,10,5,56.122
6.4444,10,7.5,61.606
6.4444,10,10,64.889
11.889,0,0,64.998
11.889,0,2.5,61.464
11.889,0,5,72.404
11.889,0,7.5,81.469
11.889,0,10,85.447
11.889,2.5,0,61.88
11.889,2.5,2.5,57.204
11.889,2.5,5,67.981
11.889,2.5,7.5,76.881
11.889,2.5,10,81.686
11.889,5,0,60.16
11.889,5,2.5,55.76
11.889,5,5,64.995
11.889,5,7.5,73.09
11.889,5,10,78.269
11.889,7.5,0,60.435
11.889,7.5,2.5,54.953
11.889,7.5,5,63.344
11.889,7.5,7.5,70.587
11.889,7.5,10,74.358
11.889,10,0,61.499
11.889,10,2.5,54.926
11.889,10,5,62.615
11.889,10,7.5,68.83
11.889,10,10,71.64
17.333,0,0,59.573
17.333,0,2.5,63.227
17.333,0,5,71.819
17.333,0,7.5,78.08
17.333,0,10,80.755
17.333,2.5,0,71.325
17.333,2.5,2.5,60.889
17.333,2.5,5,69.829
17.333,2.5,7.5,76.324
17.333,2.5,10,79.246
17.333,5,0,69.714
17.333,5,2.5,59.68
17.333,5,5,67.919
17.333,5,7.5,74.758
17.333,5,10,76.855
17.333,7.5,0,69.117
17.333,7.5,2.5,58.847
17.333,7.5,5,66.859
17.333,7.5,7.5,73.338
17.333,7.5,10,75.525
17.333,10,0,69.189
17.333,10,2.5,70.306
17.333,10,5,65.737
17.333,10,7.5,72.529
17.333,10,10,74.407
22.778,0,0,63.926
22.778,0,2.5,64.279
22.778,0,5,71.735
22.778,0,7.5,77.52
22.778,0,10,79.384
22.778,2.5,0,62.959
22.778,2.5,2.5,63.541
22.778,2.5,5,71.078
22.778,2.5,7.5,76.832
22.778,2.5,10,78.713
22.778,5,0,75.325
22.778,5,2.5,62.264
22.778,5,5,70.13
22.778,5,7.5,75.428
22.778,5,10,77.115
22.778,7.5,0,74.39
22.778,7.5,2.5,61.875
22.778,7.5,5,69.311
22.778,7.5,7.5,74.772
22.778,7.5,10,76.365
22.778,10,0,74.108
22.778,10,2.5,61.85
22.778,10,5,68.963
22.778,10,7.5,73.638
22.778,10,10,75.608
28.222,0,0,66.314
28.222,0,2.5,65.841
28.222,0,5,71.754
28.222,0,7.5,77.167
28.222,0,10,79.384
28.222,2.5,0,66.007
28.222,2.5,2.5,65.328
28.222,2.5,5,71.923
28.222,2.5,7.5,76.742
28.222,2.5,10,77.872
28.222,5,0,65.388
28.222,5,2.5,64.56
28.222,5,5,70.914
28.222,5,7.5,76.292
28.222,5,10,77.208
28.222,7.5,0,78.04
28.222,7.5,2.5,64.088
28.222,7.5,5,70.355
28.222,7.5,7.5,75.314
28.222,7.5,10,76.592
28.222,10,0,77.39
28.222,10,2.5,64.482
28.222,10,5,69.956
28.222,10,7.5,74.77
28.222,10,10,76.233
33.667,0,0,68.33
33.667,0,2.5,67.121
33.667,0,5,72.675
33.667,0,7.5,77.424
33.667,0,10,78.912
33.667,2.5,0,68.184
33.667,2.5,2.5,67.185
33.667,2.5,5,72.353
33.667,2.5,7.5,76.739
33.667,2.5,10,77.952
33.667,5,0,67.838
33.667,5,2.5,66.712
33.667,5,5,71.682
33.667,5,7.5,76.559
33.667,5,10,77.556
